Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Clayton Kershaw (10629981),Clayton Kershaw,10629981,P,14400,LAD@ARI 05/02/2018 09:40PM ET,LAD,17.62
SP,Max Scherzer (10629982),Max Scherzer,10629982,P,13400,PIT@WAS 05/02/2018 07:05PM ET,WAS,31.37
SP,Gerrit Cole (10629983),Gerrit Cole,10629983,P,12500,NYY@HOU 05/02/2018 08:10PM ET,HOU,31.12
SP,Justin Verlander (10629984),Justin Verlander,10629984,P,12300,NYY@HOU 05/02/2018 08:10PM ET,HOU,30.61
SP,Patrick Corbin (10629985),Patrick Corbin,10629985,P,11500,LAD@ARI 05/02/2018 09:40PM ET,ARI,30.3
SP,Jacob deGrom (10629517),Jacob deGrom,10629517,P,11500,ATL@NYM 05/02/2018 07:10PM ET,NYM,25.55
SP,Robbie Ray (10629986),Robbie Ray,10629986,P,11300,LAD@ARI 05/02/2018 09:40PM ET,ARI,17.41
SP,Lance McCullers Jr. (10629987),Lance McCullers Jr.,10629987,P,11200,NYY@HOU 05/02/2018 08:10PM ET,HOU,21.12
SP,Jake Arrieta (10629988),Jake Arrieta,10629988,P,10900,PHI@MIA 05/02/2018 07:10PM ET,PHI,14.79
SP,Stephen Strasburg (10629518),Stephen Strasburg,10629518,P,10800,PIT@WAS 05/02/2018 07:05PM ET,WAS,20.91
SP,Noah Syndergaard (10629989),Noah Syndergaard,10629989,P,10800,ATL@NYM 05/02/2018 07:10PM ET,NYM,20.1
SP,Charlie Morton (10629990),Charlie Morton,10629990,P,10500,NYY@HOU 05/02/2018 08:10PM ET,HOU,25.28
SP,Zack Greinke (10629991),Zack Greinke,10629991,P,10200,LAD@ARI 05/02/2018 09:40PM ET,ARI,19.4
SP,Aaron Nola (10629519),Aaron Nola,10629519,P,9900,PHI@MIA 05/02/2018 07:10PM ET,PHI,18.24
