"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Yoenis Cespedes","Mets","NYM @ CIN","LF","4.74","1.28",".65",".24",".02",".37",".87",".83",".02",".01",".38",".99","9.59","14.98","11.29","13110"
"Brandon Belt","Giants","SF @ PHI","1B","4.48","1.14",".53",".26",".03",".31",".75",".87",".02",".02",".66",".90","9.43","14.73","10.93","10264"
"Michael Conforto","Mets","NYM @ CIN","CF","4.85","1.19",".62",".24",".02",".31",".86",".64",".03",".03",".67",".95","9.26","14.37","10.81","16376"
"Jay Bruce","Mets","NYM @ CIN","RF","4.63","1.19",".56",".26",".02",".34",".76",".82",".02",".02",".42",".77","9.14","14.28","10.72","9892"
"Rhys Hoskins","Phillies","SF @ PHI","LF","4.45","1.04",".48",".21",".02",".33",".76",".70",".04",".03",".57","1.18","8.80","13.71","10.24","16472"
"Bryce Harper","Nationals","WSH @ SD","RF","4.79",".96",".54",".17",".01",".24",".71",".50",".07",".04","1.01","1.01","8.50","13.14","9.79","11579"
"Kris Bryant","Cubs","MIA @ CHC","3B","4.34","1.09",".59",".25",".03",".22",".70",".63",".04",".03",".67",".70","8.27","12.87","9.65","15429"
"Joey Gallo","Rangers","DET @ TEX","1B","4.26",".91",".41",".16",".02",".32",".63",".81",".03",".02",".56","1.26","8.27","12.94","9.55","14128"
"Nicholas Castellanos","Tigers","DET @ TEX","RF","4.63","1.28",".76",".28",".04",".20",".65",".73",".03",".02",".38",".89","8.13","12.69","9.68","11737"
"Eugenio Suarez","Reds","NYM @ CIN","3B","4.37","1.05",".60",".21",".02",".22",".64",".78",".03",".03",".61",".83","8.14","12.72","9.46","12552"
"Joey Votto","Reds","NYM @ CIN","1B","4.46","1.08",".71",".17",".01",".18",".71",".61",".02",".01",".85",".57","8.09","12.59","9.39","4314"
"Jose Altuve","Astros","HOU @ OAK","2B","4.74","1.41","1.00",".28",".02",".11",".71",".50",".15",".07",".36",".52","7.90","12.24","9.59","5417"
"Brian Dozier","Twins","MIN @ STL","2B","4.70","1.09",".63",".22",".02",".22",".69",".65",".08",".04",".47",".87","7.95","12.39","9.36","9810"
"George Springer","Astros","HOU @ OAK","CF","4.85","1.24",".77",".25",".02",".20",".71",".53",".06",".03",".43",".79","7.83","12.14","9.35","12856"
"Andrew McCutchen","Giants","SF @ PHI","RF","4.68","1.12",".68",".22",".01",".21",".73",".55",".06",".03",".52",".91","7.82","12.15","9.23","9847"
"Todd Frazier","Mets","NYM @ CIN","3B","4.42",".95",".49",".19",".01",".26",".62",".70",".04",".03",".58",".82","7.81","12.18","9.06","785"
"Asdrubal Cabrera","Mets","NYM @ CIN","2B","4.52","1.21",".73",".28",".01",".19",".62",".68",".03",".01",".41",".55","7.73","12.05","9.17","4962"
"Jeimer Candelario","Tigers","DET @ TEX","3B","4.74","1.17",".66",".33",".03",".16",".70",".58",".01",".01",".55",".96","7.75","12.05","9.12","13621"
"Carlos Correa","Astros","HOU @ OAK","SS","4.63","1.22",".75",".28",".01",".18",".63",".65",".04",".02",".43",".86","7.70","12.00","9.15","14162"
