"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Ian Kinsler","Angels","NYY @ LAA","2B","4.46",".94",".61",".17",".01",".15",".51",".40",".09",".05",".33",".77","6.01","9.31","7.20","6195"
"Eric Hosmer","Padres","NYM @ SD","1B","4.17",".96",".65",".15",".01",".15",".47",".49",".02",".01",".43",".85","6.00","9.34","7.14","3516"
"Kendrys Morales","Blue Jays","TEX @ TOR","DH","3.89",".92",".54",".19",".00",".18",".46",".53",".00",".00",".33",".78","6.00","9.35","7.10","8610"
"Jose Pirela","Padres","NYM @ SD","2B","4.08",".96",".60",".21",".03",".12",".44",".48",".06",".04",".35",".82","5.98","9.29","7.15","5485"
"Brett Gardner","Yankees","NYY @ LAA","LF","4.72",".93",".67",".16",".02",".08",".50",".32",".11",".05",".57","1.09","5.99","9.25","7.14","9927"
"Matt Duffy","Rays","TB @ BOS","3B","4.67","1.19",".85",".25",".02",".07",".48",".39",".07",".04",".25","1.00","5.90","9.14","7.25","13836"
"Evan Longoria","Giants","LAD @ SF","3B","4.11",".94",".60",".21",".02",".11",".42",".60",".02",".02",".39",".88","5.94","9.30","7.03","9368"
"Nick Delmonico","White Sox","","LF","4.40","1.03",".67",".24",".02",".09",".45",".53",".03",".02",".35",".74","5.92","9.24","7.09","13157"
"Brandon Crawford","Giants","LAD @ SF","SS","4.48",".95",".62",".20",".03",".09",".55",".38",".04",".02",".49","1.09","5.97","9.25","7.07","5343"
"Cheslor Cuthbert","Royals","","DH","4.06",".98",".67",".20",".01",".10",".48",".58",".01",".01",".39",".62","5.93","9.28","7.03","10473"
"Nick Markakis","Braves","ATL @ PHI","RF","4.45","1.00",".69",".21",".01",".09",".47",".49",".01",".01",".50",".72","5.93","9.23","7.03","5930"
"Gregor Blanco","Giants","LAD @ SF","DH","4.59",".92",".66",".17",".05",".04",".48",".28",".13",".07",".66","1.07","5.95","9.15","7.08","3123"
"Nick Delmonico","White Sox","CWS @ KC","LF","4.40","1.00",".66",".23",".02",".10",".45",".51",".02",".02",".37",".72","5.90","9.19","7.04","13157"
"Jon Jay","Royals","CWS @ KC","LF","4.20","1.03",".81",".17",".03",".02",".45",".43",".05",".03",".64",".58","5.89","9.15","7.03","5227"
"Albert Almora Jr.","Cubs","MIL @ CHC","CF","4.63","1.06",".70",".24",".04",".09",".50",".39",".04",".02",".33",".88","5.85","9.08","7.07","14109"
"Domingo Santana","Brewers","MIL @ CHC","RF","4.36",".86",".54",".21",".01",".11",".41",".49",".04",".03",".54","1.48","5.91","9.19","6.93","10348"
"Alex Gordon","Royals","","LF","3.95",".82",".54",".17",".01",".10",".48",".50",".04",".03",".60",".73","5.92","9.22","6.88","5209"
"Brandon Belt","Giants","","1B","4.13",".89",".55",".22",".03",".10",".44",".50",".03",".02",".47","1.10","5.88","9.16","6.92","10264"
"Tyler Naquin","Indians","SEA @ CLE","RF","3.87",".99",".64",".22",".04",".09",".47",".48",".04",".03",".30",".82","5.82","9.06","6.99","13359"
"Matt Davidson","White Sox","CWS @ KC","DH","4.30",".88",".53",".17",".01",".17",".48",".54",".01",".01",".31","1.29","5.84","9.13","6.92","7226"
"Jackie Bradley Jr.","Red Sox","TB @ BOS","CF","3.84",".89",".55",".19",".03",".12",".48",".49",".04",".02",".36",".79","5.83","9.09","6.91","12984"
"Bradley Zimmer","Indians","SEA @ CLE","CF","3.75",".87",".54",".20",".04",".09",".45",".45",".13",".06",".32","1.01","5.79","9.00","6.91","16221"
"Yasiel Puig","Dodgers","LAD @ SF","RF","4.17",".95",".64",".19",".02",".09",".40",".51",".06",".04",".38",".69","5.77","8.99","6.90","14225"
"Craig Gentry","Orioles","DET @ BAL","RF","4.44",".88",".65",".16",".02",".05",".50",".31",".18",".09",".50",".98","5.80","8.96","6.93","9571"
"Billy Hamilton","Reds","CIN @ MIN","CF","4.03",".83",".62",".13",".05",".03",".45",".31",".28",".10",".42",".95","5.78","8.91","6.97","10199"
"Albert Pujols","Angels","NYY @ LAA","1B","4.17",".93",".59",".15",".00",".19",".46",".54",".01",".01",".21",".69","5.73","8.95","6.86","1177"
"Mark Canha","Athletics","OAK @ HOU","1B","4.11",".84",".45",".23",".01",".15",".45",".46",".03",".02",".38","1.28","5.78","8.99","6.82","11445"
"Starlin Castro","Marlins","COL @ MIA","2B","4.37","1.15",".85",".19",".02",".09",".47",".43",".02",".01",".26",".83","5.69","8.84","6.96","4579"
"Ketel Marte","Diamondbacks","ARI @ WSH","2B","4.23","1.09",".76",".24",".04",".06",".43",".43",".06",".04",".27",".52","5.69","8.84","6.95","13613"
"Matt Kemp","Dodgers","","LF","4.28","1.00",".65",".22",".01",".12",".44",".52",".02",".01",".25",".99","5.70","8.90","6.85","5631"
"Devin Mesoraco","Reds","CIN @ MIN","C","4.15",".83",".52",".16",".01",".14",".47",".48",".03",".02",".43",".99","5.75","8.96","6.76","5666"
"Welington Castillo","White Sox","CWS @ KC","C","4.19","1.01",".68",".21",".00",".12",".47",".47",".01",".01",".29",".92","5.68","8.85","6.83","3256"
"Brian Anderson","Marlins","COL @ MIA","RF","4.16",".90",".58",".20",".02",".10",".45",".47",".02",".01",".47","1.03","5.72","8.91","6.76","18289"
"Robinson Chirinos","Rangers","TEX @ TOR","C","3.97",".69",".33",".19",".01",".17",".46",".47",".02",".01",".53","1.30","5.78","8.99","6.66","3142"
"Christian Yelich","Brewers","MIL @ CHC","LF","4.57",".96",".67",".20",".02",".07",".48",".34",".07",".03",".49","1.22","5.70","8.82","6.82","11477"
"Shohei Ohtani","Angels","NYY @ LAA","DH","4.05",".88",".53",".15",".02",".17",".44",".45",".03",".02",".30","1.16","5.69","8.85","6.79","19755"
"Alex Avila","Diamondbacks","ARI @ WSH","C","4.12",".80",".50",".16",".01",".14",".44",".46",".01",".01",".55","1.34","5.73","8.92","6.69","7476"
"Austin Jackson","Giants","","CF","4.55","1.09",".78",".23",".04",".04",".50",".29",".06",".04",".39","1.17","5.65","8.71","6.88","9848"
"Nomar Mazara","Rangers","TEX @ TOR","RF","4.40",".94",".63",".18",".01",".11",".45",".49",".02",".01",".38","1.06","5.64","8.80","6.72","14553"
"Alex Gordon","Royals","CWS @ KC","LF","3.97",".76",".52",".15",".01",".08",".45",".47",".04",".03",".67",".76","5.70","8.88","6.60","5209"
"Victor Martinez","Tigers","DET @ BAL","DH","4.28",".93",".63",".17",".00",".13",".43",".51",".01",".00",".37",".60","5.62","8.77","6.68","393"
"Daniel Palka","White Sox","","RF","4.19",".92",".58",".18",".03",".13",".43",".46",".04",".03",".28","1.07","5.59","8.71","6.71","14897"
"Austin Barnes","Dodgers","LAD @ SF","C","4.28",".84",".58",".18",".02",".06",".41",".43",".06",".03",".64",".77","5.64","8.75","6.61","12158"
"Hernan Perez","Brewers","MIL @ CHC","2B","4.26",".94",".63",".20",".03",".08",".39",".47",".13",".06",".22",".85","5.54","8.63","6.72","5751"
"Daniel Palka","White Sox","CWS @ KC","RF","4.09",".89",".54",".18",".02",".14",".44",".45",".04",".03",".28","1.03","5.57","8.67","6.66","14897"
"Pablo Sandoval","Giants","LAD @ SF","DH","4.18",".86",".56",".19",".01",".11",".42",".56",".02",".01",".38",".94","5.58","8.73","6.58","5409"
"Michael Conforto","Mets","NYM @ SD","CF","4.25",".76",".47",".14",".02",".13",".39",".44",".03",".02",".59","1.29","5.62","8.74","6.56","16376"
"Ian Desmond","Rockies","COL @ MIA","1B","4.11",".91",".61",".16",".01",".12",".39",".44",".08",".04",".25","1.05","5.42","8.43","6.55","6885"
"Aaron Hicks","Yankees","NYY @ LAA","CF","4.20",".73",".47",".14",".01",".11",".40",".36",".08",".05",".60","1.10","5.50","8.50","6.43","5297"
"Daniel Robertson","Rays","TB @ BOS","2B","4.25",".91",".61",".20",".02",".08",".42",".37",".04",".02",".49","1.33","5.44","8.43","6.48","14145"
"Nick Hundley","Giants","","C","4.12",".92",".59",".24",".01",".09",".42",".50",".02",".01",".30",".99","5.41","8.46","6.45","3376"
"Austin Slater","Giants","LAD @ SF","LF","4.07",".92",".64",".18",".02",".08",".37",".47",".04",".03",".40","1.10","5.41","8.42","6.48","16153"
"Kolten Wong","Cardinals","STL @ PIT","2B","4.12",".90",".62",".19",".03",".05",".38",".37",".06",".03",".54",".64","5.43","8.41","6.47","12532"
"Chris Davis","Orioles","DET @ BAL","1B","4.04",".67",".38",".12",".00",".16",".43",".46",".01",".00",".56","1.47","5.48","8.54","6.33","9272"
"Francisco Cervelli","Pirates","STL @ PIT","C","4.04",".86",".61",".15",".02",".09",".41",".42",".02",".01",".52",".93","5.43","8.44","6.43","5275"
"Joc Pederson","Dodgers","","LF","4.17",".78",".46",".19",".01",".11",".40",".42",".04",".03",".50",".97","5.45","8.46","6.38","11899"
"Colin Moran","Pirates","STL @ PIT","3B","3.93",".92",".62",".17",".01",".11",".38",".46",".02",".02",".35",".94","5.38","8.37","6.44","16909"
"Jonathan Villar","Brewers","MIL @ CHC","2B","4.15",".85",".59",".18",".02",".06",".34",".36",".18",".08",".36","1.31","5.37","8.31","6.49","10071"
"Anthony Santander","Orioles","DET @ BAL","LF","3.92",".87",".53",".19",".02",".13",".38",".48",".04",".03",".26",".93","5.37","8.36","6.42","14551"
"Yasiel Puig","Dodgers","","RF","4.06",".89",".58",".19",".02",".10",".37",".43",".06",".04",".34",".78","5.37","8.34","6.44","14225"
"Austin Slater","Giants","","LF","4.03",".98",".69",".20",".02",".08",".37",".46",".05",".03",".30",".96","5.34","8.32","6.47","16153"
"Tim Anderson","White Sox","CWS @ KC","SS","3.97","1.06",".77",".20",".03",".06",".39",".40",".11",".05",".11",".80","5.29","8.21","6.55","15172"
"Tyler Flowers","Braves","ATL @ PHI","C","4.11",".80",".53",".15",".00",".13",".39",".45",".01",".01",".50","1.24","5.41","8.41","6.35","9134"
"Max Muncy","Dodgers","LAD @ SF","1B","4.06",".82",".55",".17",".02",".08",".36",".43",".04",".03",".55",".89","5.40","8.40","6.36","13301"
"Ben Zobrist","Cubs","MIL @ CHC","2B","3.99",".78",".50",".18",".03",".07",".37",".44",".02",".01",".62",".57","5.41","8.41","6.31","7435"
"Leury Garcia","White Sox","","LF","4.07","1.00",".72",".20",".03",".06",".35",".38",".12",".07",".24",".89","5.30","8.21","6.51","5913"
"Nick Ahmed","Diamondbacks","ARI @ WSH","SS","4.00",".87",".55",".19",".02",".10",".40",".46",".05",".03",".28",".84","5.30","8.26","6.34","12147"
"Roberto Perez","Indians","SEA @ CLE","C","3.98",".78",".48",".18",".01",".11",".45",".46",".02",".01",".41","1.00","5.33","8.31","6.25","2900"
"Alcides Escobar","Royals","CWS @ KC","SS","4.09",".94",".69",".18",".03",".03",".41",".50",".06",".03",".31",".54","5.25","8.20","6.31","6310"
"Ryon Healy","Mariners","SEA @ CLE","1B","4.10",".93",".58",".22",".01",".12",".38",".48",".01",".01",".20","1.21","5.23","8.17","6.30","15447"
"Ryan Rua","Rangers","TEX @ TOR","LF","3.84",".77",".45",".17",".01",".14",".40",".43",".06",".03",".33","1.24","5.28","8.21","6.25","12409"
"Zack Cozart","Angels","NYY @ LAA","3B","3.83",".85",".53",".17",".02",".13",".40",".42",".02",".01",".30",".86","5.24","8.15","6.27","2616"
"Ryan Flaherty","Braves","ATL @ PHI","3B","4.00",".85",".59",".17",".02",".08",".35",".40",".06",".03",".46",".90","5.23","8.12","6.24","7888"
"Aledmys Diaz","Blue Jays","TEX @ TOR","SS","3.65",".88",".55",".20",".01",".11",".44",".42",".04",".03",".20",".55","5.19","8.09","6.24","15937"
"Matt Szczur","Padres","NYM @ SD","DH","3.84",".78",".52",".15",".02",".10",".36",".40",".06",".03",".46",".75","5.21","8.09","6.17","11255"
"Trayce Thompson","White Sox","","CF","4.18",".79",".48",".16",".03",".12",".39",".44",".05",".03",".29","1.28","5.18","8.07","6.17","9952"
"Denard Span","Rays","TB @ BOS","LF","4.14",".95",".67",".20",".02",".05",".38",".37",".08",".03",".31",".83","5.14","7.97","6.24","8347"
"Isiah Kiner-Falefa","Rangers","TEX @ TOR","2B","4.51",".91",".64",".21",".01",".05",".38",".37",".07",".04",".41",".97","5.15","7.99","6.19","16512"
"Martin Prado","Marlins","COL @ MIA","3B","4.06","1.02",".75",".21",".01",".06",".38",".43",".01",".01",".29",".55","5.09","7.93","6.20","3312"
"Stephen Piscotty","Athletics","OAK @ HOU","RF","4.00",".80",".50",".19",".02",".09",".41",".37",".03",".03",".45","1.19","5.16","8.00","6.10","13367"
"Leury Garcia","White Sox","CWS @ KC","LF","3.85",".95",".68",".19",".04",".05",".39",".38",".11",".06",".19",".74","5.07","7.87","6.21","5913"
"Dansby Swanson","Braves","ATL @ PHI","SS","4.23",".86",".60",".16",".02",".08",".37",".41",".04",".02",".41","1.07","5.12","7.97","6.12","18314"
"J.P. Crawford","Phillies","ATL @ PHI","SS","3.94",".71",".45",".14",".03",".10",".36",".38",".05",".03",".55",".92","5.16","8.00","6.04","15491"
"Lewis Brinson","Marlins","COL @ MIA","CF","3.83",".78",".50",".15",".03",".11",".34",".45",".07",".05",".32","1.15","5.10","7.95","6.09","14352"
"Jason Heyward","Cubs","MIL @ CHC","RF","3.87",".76",".51",".16",".03",".07",".34",".45",".05",".03",".52",".61","5.14","7.99","6.04","4940"
"Austin Hedges","Padres","NYM @ SD","C","3.73",".71",".40",".14",".00",".17",".36",".48",".02",".02",".31","1.09","5.10","7.97","6.01","12976"
"Jurickson Profar","Rangers","TEX @ TOR","SS","4.08",".79",".51",".20",".01",".07",".40",".34",".04",".03",".52",".75","5.11","7.92","6.02","10815"
"JaCoby Jones","Tigers","DET @ BAL","LF","4.18",".81",".54",".16",".02",".09",".36",".38",".09",".06",".32","1.34","5.04","7.83","6.05","14818"
"Andrelton Simmons","Angels","NYY @ LAA","SS","3.94",".95",".67",".19",".02",".08",".37",".35",".07",".04",".25",".54","5.01","7.76","6.11","10847"
"Freddy Galvis","Padres","NYM @ SD","SS","3.96",".86",".61",".14",".02",".09",".36",".41",".06",".04",".30",".81","5.01","7.79","6.05","6609"
"Drew Butera","Royals","","C","3.86",".74",".52",".15",".01",".06",".43",".42",".04",".02",".52",".85","5.07","7.91","5.92","3411"
"Gerardo Parra","Rockies","COL @ MIA","LF","4.22",".97",".69",".20",".02",".06",".36",".41",".05",".03",".23",".71","4.98","7.75","6.08","8553"
"Adeiny Hechavarria","Rays","TB @ BOS","SS","4.03","1.00",".72",".19",".04",".06",".37",".42",".03",".02",".17",".82","4.94","7.69","6.07","10459"
"Miguel Andujar","Yankees","NYY @ LAA","3B","3.96",".87",".54",".21",".01",".11",".36",".43",".04",".02",".17",".98","4.97","7.74","6.00","15878"
"Alcides Escobar","Royals","","SS","3.84",".89",".63",".18",".03",".04",".42",".46",".06",".03",".24",".49","4.96","7.76","5.97","6310"
"Noel Cuevas","Rockies","COL @ MIA","RF","3.98",".92",".66",".15",".04",".07",".35",".38",".07",".05",".23",".85","4.94","7.66","6.04","11894"
"Adam Engel","White Sox","","CF","3.84",".73",".47",".15",".03",".07",".39",".35",".13",".06",".34","1.10","5.00","7.75","5.96","15082"
"Lourdes Gurriel","Blue Jays","TEX @ TOR","SS","4.02",".93",".64",".19",".02",".08",".39",".43",".05",".03",".15",".66","4.93","7.69","6.00","19238"
"Christian Vazquez","Red Sox","TB @ BOS","C","3.72",".95",".66",".23",".01",".05",".43",".41",".04",".03",".19",".57","4.93","7.69","5.98","9774"
"Austin Barnes","Dodgers","","C","4.06",".78",".54",".17",".02",".06",".33",".36",".05",".03",".56",".84","5.00","7.75","5.90","12158"
"Drew Butera","Royals","CWS @ KC","C","3.86",".72",".51",".14",".01",".06",".43",".41",".04",".02",".53",".84","5.00","7.79","5.81","3411"
"Max Muncy","Dodgers","","1B","3.94",".77",".51",".17",".02",".08",".33",".37",".04",".03",".48",".99","4.96","7.70","5.87","13301"
"Jorge Alfaro","Phillies","ATL @ PHI","C","3.83",".77",".49",".13",".01",".14",".36",".43",".02",".01",".32","1.38","4.92","7.67","5.85","12180"
"Neil Walker","Yankees","NYY @ LAA","2B","4.08",".78",".52",".15",".01",".10",".37",".38",".01",".01",".41","1.00","4.92","7.64","5.83","7539"
"Miguel Rojas","Marlins","COL @ MIA","SS","3.95",".97",".74",".17",".02",".04",".33",".40",".03",".02",".31",".50","4.82","7.49","5.88","7802"
"Nick Hundley","Giants","LAD @ SF","C","3.96",".83",".53",".20",".01",".09",".32",".42",".02",".01",".34","1.12","4.85","7.54","5.79","3376"
"James McCann","Tigers","DET @ BAL","C","4.07",".85",".57",".17",".01",".09",".36",".39",".02",".01",".30",".83","4.81","7.48","5.77","12859"
"Orlando Arcia","Brewers","MIL @ CHC","SS","3.91",".87",".61",".18",".03",".06",".31",".37",".08",".05",".26",".75","4.78","7.42","5.82","13185"
"Jonathan Lucroy","Athletics","OAK @ HOU","C","3.88",".82",".56",".18",".01",".07",".40",".36",".01",".01",".40",".75","4.83","7.50","5.74","7870"
"Johnny Field","Rays","TB @ BOS","CF","3.80",".81",".48",".24",".02",".08",".36",".42",".07",".04",".17","1.11","4.79","7.47","5.77","15048"
"Manny Pina","Brewers","MIL @ CHC","C","4.02",".85",".57",".20",".01",".07",".33",".39",".02",".01",".34",".87","4.77","7.42","5.72","2829"
"Adam Engel","White Sox","CWS @ KC","CF","3.84",".77",".52",".17",".03",".05",".36",".35",".12",".06",".27",".97","4.75","7.37","5.72","15082"
"Rob Refsnyder","Rays","TB @ BOS","DH","3.91",".76",".51",".19",".01",".05",".36",".35",".06",".03",".42","1.17","4.75","7.36","5.63","13770"
"Juan Lagares","Mets","NYM @ SD","CF","4.15",".90",".64",".17",".03",".05",".28",".36",".06",".04",".27",".94","4.65","7.21","5.69","5384"
"Kole Calhoun","Angels","NYY @ LAA","RF","3.70",".77",".50",".15",".02",".11",".35",".38",".02",".01",".28",".97","4.68","7.28","5.60","11200"
"Jordy Mercer","Pirates","STL @ PIT","SS","3.81",".81",".56",".16",".02",".07",".32",".39",".01",".01",".33",".76","4.56","7.10","5.47","6547"
"Adrian Sanchez","Nationals","ARI @ WSH","2B","3.97",".89",".63",".21",".02",".03",".31",".39",".05",".03",".21",".95","4.52","7.04","5.51","11338"
"Kelby Tomlinson","Giants","","2B","3.91",".87",".70",".13",".03",".01",".29",".32",".10",".05",".37",".87","4.50","6.96","5.50","13005"
"Jose Iglesias","Tigers","DET @ BAL","SS","3.95",".88",".62",".22",".01",".03",".32",".34",".06",".04",".25",".54","4.50","6.98","5.48","10231"
"Luis Sardinas","Orioles","DET @ BAL","SS","3.80",".83",".63",".13",".02",".05",".33",".34",".07",".04",".28",".73","4.49","6.97","5.46","13153"
"Ichiro Suzuki","Mariners","SEA @ CLE","LF","3.97",".86",".66",".14",".03",".03",".33",".32",".06",".03",".32",".82","4.43","6.87","5.40","1101"
"Kelby Tomlinson","Giants","LAD @ SF","2B","3.84",".79",".64",".11",".03",".01",".26",".29",".11",".06",".48",".97","4.44","6.86","5.37","13005"
"Gleyber Torres","Yankees","NYY @ LAA","2B","3.84",".77",".53",".16",".01",".07",".32",".32",".08",".07",".25","1.14","4.41","6.85","5.35","16997"
"Luke Maile","Blue Jays","TEX @ TOR","C","3.77",".78",".53",".19",".01",".05",".35",".33",".05",".03",".27",".79","4.39","6.82","5.28","13355"
"Pedro Severino","Nationals","ARI @ WSH","C","3.84",".82",".62",".15",".01",".05",".32",".34",".03",".02",".34",".88","4.37","6.78","5.27","14523"
"Caleb Joseph","Orioles","DET @ BAL","C","3.67",".70",".46",".14",".01",".09",".37",".34",".03",".01",".31","1.05","4.39","6.83","5.21","7087"
"Amed Rosario","Mets","NYM @ SD","SS","3.78",".82",".59",".15",".04",".05",".33",".25",".09",".05",".21","1.01","4.32","6.67","5.32","15518"
"Brandon Crawford","Giants","","SS","3.79",".81",".57",".16",".03",".05",".29",".39",".03",".02",".26",".91","4.31","6.72","5.22","5343"
"Omar Narvaez","White Sox","","C","3.96",".80",".64",".14",".00",".02",".34",".28",".02",".01",".43",".78","4.18","6.48","5.02","13338"
"Dixon Machado","Tigers","DET @ BAL","2B","3.82",".79",".59",".17",".01",".03",".34",".29",".06",".03",".26",".62","4.15","6.43","5.04","11472"
"Tomas Nido","Mets","NYM @ SD","C","4.03",".71",".48",".14",".01",".08",".26",".36",".01",".01",".27","1.09","4.07","6.34","4.88","13755"
"David Freitas","Mariners","SEA @ CLE","C","3.85",".70",".47",".18",".00",".04",".31",".29",".02",".01",".26","1.18","3.82","5.94","4.58","10619"
"Martin Maldonado","Angels","NYY @ LAA","C","3.58",".63",".42",".12",".01",".08",".31",".31",".02",".01",".22","1.04","3.79","5.90","4.52","6887"
