"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Mike Trout","Angels","NYY @ LAA","CF","4.50","1.21",".60",".23",".03",".35",".86",".74",".12",".06",".81",".65","10.37","16.10","12.08","10155"
"Brian Dozier","Twins","CIN @ MIN","2B","4.75","1.27",".71",".25",".02",".29",".80",".75",".08",".04",".50",".81","9.30","14.48","10.96","9810"
"Rhys Hoskins","Phillies","ATL @ PHI","LF","4.35",".98",".49",".19",".01",".29",".70",".84",".04",".03",".77",".97","8.92","13.94","10.24","16472"
"Freddie Freeman","Braves","ATL @ PHI","1B","4.53","1.15",".62",".25",".01",".27",".70",".68",".04",".03",".70",".93","8.78","13.64","10.25","5361"
"Eddie Rosario","Twins","CIN @ MIN","LF","4.54","1.28",".74",".26",".04",".25",".70",".85",".07",".04",".27",".85","8.62","13.50","10.26","12155"
"Giancarlo Stanton","Yankees","NYY @ LAA","LF","4.53","1.03",".52",".17",".01",".33",".68",".83",".02",".01",".57","1.29","8.64","13.52","10.03","4949"
"Aaron Judge","Yankees","NYY @ LAA","RF","4.71",".98",".51",".18",".02",".28",".75",".63",".05",".03",".80","1.49","8.56","13.30","9.88","15640"
"Manny Machado","Orioles","DET @ BAL","SS","4.43","1.22",".71",".25",".01",".25",".69",".75",".04",".03",".44",".58","8.39","13.10","9.91","11493"
"Trea Turner","Nationals","ARI @ WSH","SS","4.65","1.14",".76",".22",".04",".12",".65",".43",".35",".13",".61","1.12","8.36","12.89","10.00","16252"
"Whit Merrifield","Royals","CWS @ KC","2B","4.72","1.28",".81",".27",".04",".16",".68",".58",".17",".09",".43",".64","8.24","12.79","9.88","11281"
"Joey Votto","Reds","CIN @ MIN","1B","4.62","1.16",".74",".21",".01",".20",".67",".64",".02",".01",".80",".76","8.26","12.85","9.65","4314"
"Mike Moustakas","Royals","CWS @ KC","3B","4.61","1.16",".68",".20",".01",".27",".73",".73",".01",".01",".36",".62","8.08","12.64","9.54","4892"
"Jose Abreu","White Sox","CWS @ KC","1B","4.57","1.27",".75",".26",".02",".24",".63",".74",".01",".01",".35",".75","8.05","12.57","9.59","15676"
"Tommy Pham","Cardinals","STL @ PIT","CF","4.75","1.11",".76",".19",".04",".13",".67",".50",".18",".09",".72",".97","8.07","12.49","9.53","2967"
"Salvador Perez","Royals","CWS @ KC","C","4.49","1.15",".64",".23",".01",".28",".68",".75",".01",".00",".32",".79","7.99","12.49","9.44","7304"
"Nelson Cruz","Mariners","SEA @ CLE","DH","4.46","1.14",".62",".24",".00",".28",".63",".79",".01",".01",".33","1.01","7.96","12.47","9.40","2434"
"Jose Altuve","Astros","OAK @ HOU","2B","4.58","1.29",".91",".24",".02",".13",".71",".50",".16",".07",".50",".72","7.95","12.32","9.54","5417"
