"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Teoscar Hernandez","Blue Jays","TEX @ TOR","RF","4.48","1.06",".53",".31",".02",".20",".69",".58",".13",".08",".44","1.04","7.98","12.40","9.40","13066"
"Justin Upton","Angels","NYY @ LAA","LF","4.41","1.02",".54",".22",".01",".26",".64",".72",".06",".03",".48","1.10","7.98","12.46","9.33","5222"
"Ronald Acuna","Braves","ATL @ PHI","LF","4.65","1.14",".73",".18",".03",".20",".66",".55",".19",".13",".36","1.36","7.88","12.23","9.44","18401"
"Yoan Moncada","White Sox","CWS @ KC","2B","4.79","1.00",".55",".20",".03",".22",".66",".55",".12",".07",".61","1.58","7.95","12.33","9.32","17232"
"Paul Goldschmidt","Diamondbacks","ARI @ WSH","1B","4.54","1.06",".63",".24",".01",".18",".63",".54",".08",".04",".79","1.05","7.93","12.29","9.26","9218"
"George Springer","Astros","OAK @ HOU","CF","4.70","1.12",".70",".21",".02",".20",".71",".54",".06",".04",".61","1.01","7.87","12.22","9.27","12856"
"J.D. Martinez","Red Sox","TB @ BOS","DH","4.25","1.15",".62",".27",".02",".24",".62",".75",".01",".01",".33","1.08","7.80","12.19","9.22","6184"
"Jorge Soler","Royals","CWS @ KC","DH","4.38",".88",".47",".16",".01",".24",".66",".63",".02",".01",".86","1.05","7.93","12.33","9.07","14221"
"Ozzie Albies","Braves","ATL @ PHI","2B","4.77","1.14",".68",".21",".05",".20",".65",".52",".15",".09",".38","1.03","7.78","12.06","9.32","16556"
"Trey Mancini","Orioles","DET @ BAL","LF","4.64","1.26",".79",".26",".02",".20",".67",".59",".02",".01",".44",".98","7.78","12.09","9.28","15149"
"Michael Conforto","Mets","NYM @ SD","CF","4.66","1.05",".60",".23",".03",".20",".70",".53",".04",".02",".67","1.05","7.82","12.13","9.13","16376"
"Ryan Zimmerman","Nationals","ARI @ WSH","1B","4.53","1.05",".57",".23",".01",".23",".69",".62",".01",".01",".54","1.19","7.77","12.10","9.07","4220"
"Eric Hosmer","Padres","NYM @ SD","1B","4.43","1.14",".69",".23",".01",".21",".69",".53",".03",".02",".56",".77","7.69","11.94","9.07","3516"
"Max Kepler","Twins","CIN @ MIN","RF","4.32","1.10",".63",".25",".04",".19",".64",".68",".04",".03",".43",".71","7.65","11.94","9.02","12144"
"Logan Morrison","Twins","CIN @ MIN","DH","4.11",".93",".50",".17",".02",".25",".63",".70",".02",".01",".59",".86","7.70","12.02","8.91","9205"
"Carlos Santana","Phillies","ATL @ PHI","1B","4.57",".94",".54",".20",".02",".18",".72",".56",".04",".02",".80",".60","7.71","11.99","8.88","2396"
"Jay Bruce","Mets","NYM @ SD","RF","4.45","1.02",".52",".25",".03",".23",".59",".72",".02",".01",".43",".85","7.63","11.92","8.94","9892"
"A.J. Pollock","Diamondbacks","ARI @ WSH","CF","4.44","1.09",".63",".29",".03",".14",".56",".66",".14",".06",".46",".77","7.60","11.85","9.00","9256"
"Eduardo Escobar","Twins","CIN @ MIN","SS","4.43","1.13",".66",".24",".04",".19",".62",".72",".03",".02",".37",".81","7.59","11.87","8.98","6153"
"Franchy Cordero","Padres","NYM @ SD","LF","4.23","1.01",".52",".18",".08",".23",".56",".66",".07",".05",".34","1.36","7.52","11.72","8.91","14567"
"Carlos Correa","Astros","OAK @ HOU","SS","4.47","1.11",".71",".22",".01",".17",".63",".62",".04",".02",".57","1.10","7.54","11.75","8.88","14162"
"Nolan Arenado","Rockies","COL @ MIA","3B","4.51","1.02",".58",".22",".02",".21",".58",".57",".03",".02",".65",".79","7.52","11.68","8.80","9777"
"Gary Sanchez","Yankees","NYY @ LAA","C","4.41","1.03",".59",".18",".00",".26",".59",".71",".03",".02",".39",".90","7.47","11.67","8.78","11442"
"Jose Ramirez","Indians","SEA @ CLE","3B","4.41","1.16",".67",".34",".02",".12",".58",".56",".10",".05",".48",".55","7.43","11.55","8.83","13510"
"Kris Bryant","Cubs","MIL @ CHC","3B","4.39","1.08",".63",".27",".03",".15",".62",".54",".04",".03",".64",".80","7.47","11.60","8.77","15429"
"Bryce Harper","Nationals","ARI @ WSH","RF","4.42",".85",".52",".14",".01",".19",".60",".54",".06",".04",".95","1.14","7.53","11.68","8.63","11579"
"Yoenis Cespedes","Mets","NYM @ SD","LF","4.56","1.08",".63",".20",".02",".23",".61",".67",".01",".01",".38","1.11","7.40","11.55","8.74","13110"
"Christian Villanueva","Padres","NYM @ SD","3B","4.33",".99",".52",".21",".01",".26",".61",".66",".02",".02",".41","1.12","7.41","11.57","8.69","11738"
"Adam Jones","Orioles","DET @ BAL","CF","4.33","1.19",".77",".22",".01",".20",".60",".73",".01",".01",".27",".73","7.30","11.43","8.71","6368"
"Robinson Cano","Mariners","SEA @ CLE","2B","4.56","1.19",".73",".28",".01",".17",".62",".61",".01",".01",".39",".71","7.30","11.38","8.68","3269"
"Matt Carpenter","Cardinals","STL @ PIT","3B","4.85",".92",".52",".24",".02",".14",".68",".43",".02",".02",".93",".89","7.42","11.48","8.52","8090"
"Francisco Lindor","Indians","SEA @ CLE","SS","4.63","1.13",".69",".28",".02",".14",".60",".49",".10",".06",".44",".72","7.27","11.27","8.67","12916"
"Scooter Gennett","Reds","CIN @ MIN","2B","4.52","1.21",".78",".23",".02",".17",".56",".73",".03",".02",".26",".99","7.20","11.28","8.63","10339"
"Steve Pearce","Blue Jays","TEX @ TOR","LF","4.59","1.12",".64",".30",".01",".17",".66",".51",".02",".01",".49",".65","7.28","11.31","8.60","9957"
"Joe Mauer","Twins","CIN @ MIN","1B","4.65","1.20",".83",".28",".01",".08",".71",".48",".02",".01",".68",".60","7.29","11.31","8.60","1857"
"Asdrubal Cabrera","Mets","NYM @ SD","2B","4.77","1.24",".77",".30",".02",".16",".66",".44",".03",".02",".41",".64","7.21","11.17","8.65","4962"
"Didi Gregorius","Yankees","NYY @ LAA","SS","4.61","1.15",".76",".20",".02",".17",".62",".64",".05",".02",".35",".61","7.18","11.21","8.56","6012"
"Anthony Rizzo","Cubs","MIL @ CHC","1B","4.30",".98",".57",".24",".02",".15",".59",".60",".03",".03",".66",".59","7.26","11.30","8.44","3473"
"Aaron Altherr","Phillies","ATL @ PHI","RF","4.25",".93",".53",".19",".03",".18",".55",".67",".08",".05",".53","1.02","7.23","11.29","8.44","11270"
"Scott Schebler","Reds","CIN @ MIN","RF","4.31","1.01",".56",".21",".03",".21",".55",".67",".04",".03",".37","1.02","7.18","11.21","8.47","12225"
"Lorenzo Cain","Brewers","MIL @ CHC","CF","4.80","1.13",".79",".24",".02",".08",".60",".35",".16",".07",".66",".85","7.17","11.05","8.56","9077"
"Justin Smoak","Blue Jays","TEX @ TOR","1B","4.37",".99",".55",".25",".00",".18",".60",".59",".01",".01",".61",".83","7.21","11.22","8.39","9054"
"Andrew Benintendi","Red Sox","TB @ BOS","LF","4.45","1.11",".68",".28",".03",".12",".63",".49",".09",".06",".46",".76","7.15","11.10","8.50","17901"
"Odubel Herrera","Phillies","ATL @ PHI","CF","4.46","1.19",".82",".22",".03",".12",".61",".59",".07",".04",".39",".82","7.10","11.06","8.51","11476"
"Josh Reddick","Astros","OAK @ HOU","RF","4.26","1.06",".69",".20",".03",".13",".57",".63",".05",".03",".57",".76","7.13","11.12","8.39","3892"
"Paul DeJong","Cardinals","STL @ PIT","SS","4.65","1.08",".65",".23",".02",".19",".57",".68",".02",".01",".34","1.27","7.09","11.09","8.40","18015"
"Ryan Braun","Brewers","MIL @ CHC","1B","4.60",".99",".58",".25",".02",".14",".55",".60",".08",".04",".54",".94","7.13","11.10","8.36","3410"
"Mitch Haniger","Mariners","SEA @ CLE","RF","4.25","1.06",".56",".27",".01",".21",".57",".61",".04",".02",".30","1.07","7.08","11.04","8.40","14274"
"Ian Kinsler","Angels","NYY @ LAA","2B","4.62","1.04",".66",".18",".02",".18",".66",".50",".08",".05",".41",".52","7.07","10.99","8.39","6195"
"Kyle Schwarber","Cubs","MIL @ CHC","LF","4.09",".90",".49",".16",".03",".21",".55",".66",".02",".02",".54","1.02","7.11","11.10","8.27","16478"
"Chris Taylor","Dodgers","LAD @ SF","CF","4.81","1.28",".85",".30",".07",".07",".57",".40",".12",".06",".38",".75","6.97","10.77","8.50","13757"
"Christian Yelich","Brewers","MIL @ CHC","LF","4.70","1.00",".64",".25",".02",".09",".63",".42",".08",".04",".76","1.06","7.08","10.95","8.27","11477"
"Miguel Cabrera","Tigers","DET @ BAL","1B","4.45","1.10",".69",".23",".00",".18",".56",".58",".01",".00",".45",".90","6.98","10.88","8.28","1744"
"Charlie Blackmon","Rockies","COL @ MIA","CF","4.73","1.06",".70",".17",".04",".15",".55",".42",".11",".06",".54","1.08","6.98","10.79","8.34","7859"
"Zack Cozart","Angels","NYY @ LAA","3B","4.21","1.09",".69",".19",".03",".18",".55",".63",".02",".01",".39",".62","6.95","10.86","8.27","2616"
"Jesse Winker","Reds","CIN @ MIN","RF","4.85","1.21",".83",".26",".02",".10",".61",".44",".04",".03",".55",".92","6.96","10.78","8.32","13590"
"Jean Segura","Mariners","SEA @ CLE","SS","4.66","1.28",".87",".29",".02",".09",".59",".48",".13",".06",".20",".73","6.87","10.66","8.40","5933"
"Danny Valencia","Orioles","DET @ BAL","3B","4.22","1.03",".64",".22",".01",".17",".56",".59",".02",".01",".51",".84","6.96","10.85","8.19","6364"
"Javier Baez","Cubs","MIL @ CHC","2B","4.50","1.17",".74",".25",".03",".15",".63",".49",".08",".05",".23","1.00","6.88","10.69","8.32","12979"
"Marcell Ozuna","Cardinals","STL @ PIT","LF","4.53","1.13",".74",".21",".02",".16",".53",".66",".01",".01",".38",".87","6.89","10.77","8.21","10324"
"Kyle Seager","Mariners","SEA @ CLE","3B","4.36","1.04",".56",".28",".01",".19",".57",".61",".01",".01",".34",".79","6.91","10.78","8.17","9785"
"Matt Davidson","White Sox","CWS @ KC","DH","4.36",".91",".48",".16",".01",".25",".56",".66",".01",".01",".37","1.50","6.93","10.83","8.11","7226"
"Edwin Encarnacion","Indians","SEA @ CLE","DH","4.21",".86",".48",".18",".00",".20",".56",".61",".01",".01",".63",".98","6.95","10.84","8.02","2151"
"Aaron Hicks","Yankees","NYY @ LAA","CF","4.81",".92",".58",".19",".01",".14",".62",".43",".09",".06",".67","1.02","6.94","10.74","8.11","5297"
"Eduardo Nunez","Red Sox","TB @ BOS","2B","4.57","1.25",".86",".29",".01",".09",".56",".44",".16",".08",".21",".59","6.79","10.52","8.31","6848"
"Travis Shaw","Brewers","MIL @ CHC","3B","4.48",".89",".49",".24",".01",".15",".51",".63",".03",".02",".66","1.00","6.89","10.76","7.97","11982"
"Kurt Suzuki","Braves","ATL @ PHI","C","4.35","1.02",".63",".19",".00",".20",".51",".66",".01",".01",".39",".64","6.81","10.65","8.05","8259"
"Cesar Hernandez","Phillies","ATL @ PHI","2B","4.67","1.11",".84",".17",".04",".07",".61",".35",".11",".07",".68",".82","6.82","10.53","8.15","10556"
"Dee Gordon","Mariners","SEA @ CLE","CF","4.79","1.32","1.02",".22",".04",".04",".54",".34",".28",".11",".15",".75","6.68","10.30","8.37","8203"
"Yolmer Sanchez","White Sox","CWS @ KC","3B","4.68","1.13",".74",".22",".06",".11",".58",".50",".08",".05",".32",".89","6.76","10.51","8.14","11602"
"Albert Pujols","Angels","NYY @ LAA","1B","4.31","1.02",".63",".17",".00",".22",".55",".65",".01",".00",".32",".49","6.77","10.60","8.02","1177"
"Eugenio Suarez","Reds","CIN @ MIN","3B","4.41","1.00",".65",".18",".01",".16",".55",".61",".04",".03",".47","1.14","6.79","10.59","8.00","12552"
"Yulieski Gurriel","Astros","OAK @ HOU","1B","4.37","1.12",".71",".28",".01",".12",".57",".66",".02",".02",".33",".63","6.75","10.56","8.02","19198"
"Hanley Ramirez","Red Sox","TB @ BOS","1B","4.36","1.07",".69",".22",".00",".16",".57",".60",".04",".02",".36",".86","6.75","10.54","8.02","8001"
"Nick Delmonico","White Sox","CWS @ KC","LF","4.47",".97",".58",".21",".02",".16",".55",".58",".03",".02",".49",".89","6.78","10.58","7.97","13157"
"Alex Bregman","Astros","OAK @ HOU","3B","4.16","1.00",".62",".24",".03",".12",".52",".59",".07",".04",".48",".75","6.75","10.52","7.96","17678"
"Willson Contreras","Cubs","MIL @ CHC","C","4.20","1.02",".62",".25",".02",".13",".55",".63",".03",".03",".42",".80","6.74","10.53","7.95","11609"
"Robbie Grossman","Twins","CIN @ MIN","DH","4.21",".99",".64",".22",".02",".12",".59",".54",".04",".02",".56",".74","6.74","10.50","7.91","5254"
"Michael Brantley","Indians","SEA @ CLE","LF","4.32","1.21",".84",".27",".01",".09",".52",".59",".07",".04",".31",".49","6.65","10.38","8.03","4106"
"Starling Marte","Pirates","STL @ PIT","CF","4.34","1.10",".80",".17",".04",".08",".50",".46",".19",".09",".41",".89","6.66","10.32","8.07","9241"
"Trevor Story","Rockies","COL @ MIA","SS","4.41",".85",".45",".20",".03",".17",".49",".55",".06",".04",".59","1.52","6.75","10.49","7.86","12564"
"Todd Frazier","Mets","NYM @ SD","3B","4.34",".86",".48",".19",".01",".18",".53",".56",".04",".03",".61",".92","6.74","10.49","7.82","785"
"Matt Olson","Athletics","OAK @ HOU","1B","4.27",".88",".46",".17",".01",".24",".53",".58",".01",".01",".39","1.52","6.67","10.40","7.82","14344"
"Nicholas Castellanos","Tigers","DET @ BAL","RF","4.37","1.11",".67",".26",".02",".16",".49",".61",".02",".02",".26","1.00","6.59","10.29","7.90","11737"
"Mike Zunino","Mariners","SEA @ CLE","C","4.13",".90",".44",".21",".00",".25",".53",".62",".01",".01",".31","1.39","6.65","10.39","7.81","13265"
"C.J. Cron","Rays","TB @ BOS","1B","4.58","1.11",".68",".26",".01",".16",".56",".52",".04",".03",".26","1.10","6.59","10.26","7.92","12546"
"Michael A. Taylor","Nationals","ARI @ WSH","CF","4.23",".86",".51",".20",".01",".15",".47",".57",".13",".06",".48","1.57","6.63","10.32","7.78","11489"
"Cody Bellinger","Dodgers","LAD @ SF","1B","4.48","1.07",".72",".21",".03",".11",".52",".59",".05",".03",".40",".84","6.58","10.27","7.84","15998"
"Khris Davis","Athletics","OAK @ HOU","DH","4.37",".86",".44",".18",".01",".23",".52",".63",".01",".01",".37","1.53","6.62","10.35","7.74","9112"
"Daniel Palka","White Sox","CWS @ KC","RF","4.25",".89",".48",".17",".03",".22",".52",".56",".04",".03",".38","1.28","6.60","10.28","7.77","14897"
"Howie Kendrick","Nationals","ARI @ WSH","LF","4.33","1.06",".70",".25",".02",".10",".48",".57",".06",".04",".45","1.05","6.53","10.18","7.77","4229"
"Yangervis Solarte","Blue Jays","TEX @ TOR","2B","4.28","1.02",".64",".24",".01",".13",".51",".60",".02",".01",".42",".51","6.51","10.18","7.70","5352"
"Denard Span","Rays","TB @ BOS","LF","4.69","1.18",".80",".27",".03",".09",".53",".39",".10",".05",".34",".72","6.45","9.98","7.85","8347"
"Kevin Pillar","Blue Jays","TEX @ TOR","CF","4.18","1.11",".70",".31",".02",".08",".49",".55",".09",".05",".31",".55","6.46","10.06","7.77","12434"
"Cheslor Cuthbert","Royals","CWS @ KC","DH","4.28","1.03",".67",".21",".01",".14",".53",".56",".02",".01",".45",".69","6.49","10.12","7.69","10473"
"Matt Joyce","Athletics","OAK @ HOU","LF","4.69",".91",".50",".23",".01",".17",".54",".43",".03",".02",".57","1.29","6.54","10.14","7.66","3353"
"Gregory Polanco","Pirates","STL @ PIT","RF","4.45",".99",".61",".23",".02",".12",".56",".43",".09",".05",".45",".90","6.50","10.08","7.72","12907"
"Mitch Moreland","Red Sox","TB @ BOS","1B","4.16","1.01",".58",".27",".01",".16",".54",".58",".01",".01",".33",".77","6.48","10.12","7.67","3086"
"Rafael Devers","Red Sox","TB @ BOS","3B","4.05","1.05",".62",".25",".02",".16",".50",".55",".04",".03",".27",".84","6.45","10.05","7.72","17350"
"Jeimer Candelario","Tigers","DET @ BAL","3B","4.55","1.00",".58",".25",".02",".15",".59",".46",".01",".01",".44","1.10","6.48","10.07","7.67","13621"
"Jose Peraza","Reds","CIN @ MIN","SS","4.74","1.24","1.00",".15",".03",".06",".57",".44",".18",".09",".18",".67","6.35","9.86","7.86","13593"
"Adam Duvall","Reds","CIN @ MIN","LF","4.20",".91",".49",".20",".01",".21",".50",".60",".03",".02",".30","1.15","6.44","10.05","7.60","10950"
"Brandon Belt","Giants","LAD @ SF","1B","4.17",".92",".53",".24",".03",".12",".50",".54",".02",".02",".56","1.10","6.46","10.06","7.55","10264"
"Matt Kemp","Dodgers","LAD @ SF","LF","4.38","1.15",".77",".27",".01",".10",".50",".60",".02",".01",".28",".68","6.34","9.91","7.63","5631"
"Manuel Margot","Padres","NYM @ SD","CF","4.54","1.04",".69",".19",".05",".11",".54",".38",".14",".09",".34",".91","6.36","9.83","7.69","14712"
"Corey Dickerson","Pirates","STL @ PIT","LF","4.14","1.09",".68",".25",".04",".12",".47",".58",".03",".02",".27",".82","6.31","9.85","7.59","10762"
"J.T. Realmuto","Marlins","COL @ MIA","C","4.54","1.15",".76",".24",".03",".12",".55",".37",".06",".04",".32",".73","6.31","9.77","7.67","11739"
"Marwin Gonzalez","Astros","OAK @ HOU","LF","4.06",".95",".60",".21",".01",".13",".47",".57",".05",".03",".48","1.00","6.36","9.92","7.49","5497"
"Derek Dietrich","Marlins","COL @ MIA","LF","4.44","1.04",".66",".22",".05",".11",".56",".40",".02",".01",".45",".79","6.29","9.74","7.51","10542"
"Corey Seager","Dodgers","LAD @ SF","SS","4.69","1.21",".88",".24",".02",".06",".56",".43",".03",".02",".39",".69","6.22","9.66","7.54","13624"
"Adam Frazier","Pirates","STL @ PIT","DH","4.56","1.15",".81",".24",".05",".05",".51",".35",".11",".08",".40",".65","6.20","9.58","7.55","15223"
"Randal Grichuk","Blue Jays","TEX @ TOR","RF","3.84",".83",".38",".25",".02",".18",".50",".56",".04",".02",".33","1.10","6.26","9.77","7.33","10243"
"Enrique Hernandez","Dodgers","LAD @ SF","2B","4.59","1.00",".63",".25",".04",".08",".52",".48",".03",".02",".48",".79","6.24","9.70","7.39","10472"
"Bradley Zimmer","Indians","SEA @ CLE","CF","4.52",".95",".63",".21",".03",".09",".54",".40",".17",".09",".36","1.48","6.22","9.64","7.45","16221"
"Yadier Molina","Cardinals","STL @ PIT","C","4.43","1.09",".74",".23",".01",".11",".48",".57",".04",".03",".28",".50","6.18","9.65","7.43","7007"
"Jesus Aguilar","Brewers","MIL @ CHC","1B","4.38",".93",".56",".22",".01",".14",".47",".60",".01",".01",".45","1.07","6.24","9.75","7.33","11342"
"Albert Almora Jr.","Cubs","MIL @ CHC","CF","4.61","1.22",".81",".29",".05",".08",".55",".39",".04",".03",".22",".72","6.14","9.52","7.53","14109"
"Jedd Gyorko","Cardinals","STL @ PIT","3B","4.31",".91",".58",".16",".01",".15",".48",".52",".03",".03",".49",".86","6.23","9.71","7.34","10816"
"Joey Gallo","Rangers","TEX @ TOR","1B","4.24",".73",".33",".15",".01",".24",".49",".56",".03",".02",".43","1.68","6.26","9.76","7.26","14128"
"Buster Posey","Giants","LAD @ SF","C","4.27","1.13",".82",".24",".00",".07",".51",".50",".03",".02",".41",".58","6.17","9.60","7.41","9166"
"Nick Ahmed","Diamondbacks","ARI @ WSH","SS","4.65",".95",".60",".21",".02",".11",".59",".38",".07",".05",".46","1.04","6.22","9.63","7.36","12147"
"Andrew McCutchen","Giants","LAD @ SF","RF","4.36",".96",".64",".20",".02",".11",".49",".45",".05",".03",".53","1.02","6.18","9.60","7.33","9847"
"Ehire Adrianza","Twins","CIN @ MIN","SS","3.99",".97",".66",".20",".03",".09",".51",".51",".10",".05",".37",".66","6.14","9.57","7.33","8418"
"Ian Desmond","Rockies","COL @ MIA","1B","4.63",".95",".65",".17",".01",".12",".51",".42",".11",".06",".41","1.27","6.14","9.53","7.34","6885"
"Anthony Santander","Orioles","DET @ BAL","LF","4.01",".97",".60",".21",".02",".14",".47",".58",".05",".03",".27",".83","6.11","9.55","7.29","14551"
"Russell Martin","Blue Jays","TEX @ TOR","C","4.07",".77",".44",".18",".00",".15",".50",".50",".02",".01",".68",".82","6.22","9.68","7.16","4616"
"Jason Castro","Twins","CIN @ MIN","C","3.88",".85",".50",".19",".01",".14",".56",".54",".02",".01",".47","1.04","6.18","9.65","7.19","8722"
"Scott Kingery","Phillies","ATL @ PHI","2B","3.91",".91",".57",".18",".02",".15",".44",".51",".11",".06",".32",".99","6.10","9.50","7.29","17975"
"Joey Wendle","Rays","TB @ BOS","2B","4.48","1.16",".75",".28",".06",".07",".45",".46",".06",".03",".21",".89","6.04","9.38","7.39","13853"
"Mallex Smith","Rays","TB @ BOS","LF","4.17","1.09",".80",".19",".06",".04",".41",".41",".21",".11",".25",".87","6.03","9.33","7.43","13608"
"Maikel Franco","Phillies","ATL @ PHI","3B","4.03",".90",".55",".17",".01",".18",".48",".61",".01",".01",".32",".63","6.11","9.56","7.20","12179"
"Delino DeShields","Rangers","TEX @ TOR","CF","4.66",".97",".68",".20",".03",".06",".44",".30",".21",".11",".50","1.21","6.10","9.40","7.36","11379"
"Nick Markakis","Braves","ATL @ PHI","RF","4.45","1.02",".72",".21",".01",".09",".48",".51",".01",".01",".54",".72","6.10","9.50","7.23","5930"
"David Peralta","Diamondbacks","ARI @ WSH","LF","4.76","1.14",".82",".21",".02",".08",".52",".33",".06",".04",".41",".95","6.02","9.30","7.31","2136"
"Chris Owings","Diamondbacks","ARI @ WSH","DH","4.34","1.00",".67",".24",".02",".07",".42",".53",".10",".05",".36",".96","6.02","9.38","7.21","10030"
"Matt Chapman","Athletics","OAK @ HOU","3B","4.16",".83",".43",".18",".03",".20",".46",".50",".03",".02",".33","1.44","6.05","9.42","7.15","16505"
"Yonder Alonso","Indians","SEA @ CLE","1B","4.11",".92",".58",".21",".00",".13",".47",".55",".01",".01",".44",".85","6.05","9.44","7.12","2530"
"Miguel Andujar","Yankees","NYY @ LAA","3B","4.18","1.08",".67",".27",".02",".13",".46",".47",".04",".02",".21",".77","5.96","9.27","7.23","15878"
"Jose Pirela","Padres","NYM @ SD","2B","4.12",".97",".61",".21",".04",".11",".44",".50",".06",".04",".36",".85","5.98","9.31","7.15","5485"
"Josh Bell","Pirates","STL @ PIT","1B","4.25",".93",".62",".18",".04",".10",".47",".51",".03",".02",".49",".83","6.00","9.36","7.09","13145"
"Jed Lowrie","Athletics","OAK @ HOU","2B","4.47","1.06",".69",".26",".02",".09",".46",".44",".01",".01",".41",".95","5.94","9.22","7.13","4418"
"Tim Anderson","White Sox","CWS @ KC","SS","4.15","1.08",".74",".19",".03",".11",".43",".44",".12",".06",".14",".98","5.87","9.11","7.21","15172"
"Renato Nunez","Rangers","TEX @ TOR","3B","4.13",".82",".41",".18",".01",".21",".46",".51",".02",".01",".32","1.32","5.97","9.30","7.02","14503"
"Brad Miller","Rays","TB @ BOS","1B","4.37",".91",".56",".21",".03",".12",".46",".50",".04",".02",".40","1.19","5.94","9.26","7.04","12775"
"Brian Anderson","Marlins","COL @ MIA","RF","4.23",".95",".62",".22",".02",".10",".46",".49",".02",".01",".48",".87","5.94","9.24","7.03","18289"
"Marcus Semien","Athletics","OAK @ HOU","SS","4.58","1.01",".67",".21",".02",".12",".47",".42",".07",".04",".30","1.24","5.89","9.14","7.11","12533"
"Chris Young","Angels","NYY @ LAA","LF","3.89",".84",".48",".18",".01",".16",".48",".51",".03",".02",".38",".76","5.92","9.23","6.96","3882"
"Jefry Marte","Angels","NYY @ LAA","1B","4.01",".89",".54",".19",".01",".15",".45",".51",".03",".03",".37",".65","5.86","9.13","6.93","5107"
"Adrian Gonzalez","Mets","NYM @ SD","1B","4.24",".95",".60",".23",".00",".12",".44",".49",".01",".01",".41",".72","5.84","9.09","6.93","1908"
"Jonathan Villar","Brewers","MIL @ CHC","2B","4.27",".85",".59",".18",".02",".06",".37",".41",".19",".08",".49","1.28","5.84","9.04","6.96","10071"
"Victor Martinez","Tigers","DET @ BAL","DH","4.27",".95",".63",".16",".00",".15",".44",".54",".01",".00",".35",".70","5.81","9.07","6.91","393"
"Moises Sierra","Nationals","ARI @ WSH","LF","4.00",".96",".65",".20",".02",".09",".39",".46",".08",".04",".45","1.09","5.82","9.03","6.95","6050"
"Cameron Maybin","Marlins","COL @ MIA","RF","4.13",".87",".60",".19",".03",".05",".41",".42",".15",".08",".48",".81","5.82","9.02","6.93","5223"
"Joey Rickard","Orioles","DET @ BAL","LF","4.12",".94",".65",".22",".02",".06",".46",".44",".08",".04",".47",".86","5.81","9.02","6.91","13277"
"Jackie Bradley Jr.","Red Sox","TB @ BOS","CF","3.93",".90",".56",".20",".02",".12",".44",".48",".05",".03",".37",".83","5.79","9.01","6.88","12984"
"Austin Barnes","Dodgers","LAD @ SF","C","4.27",".94",".65",".22",".02",".05",".44",".42",".06",".03",".55",".57","5.77","8.95","6.84","12158"
