Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2B/OF,David Bote (10617650),David Bote,10617650,2B/OF,2000,MIL@CHC 04/29/2018 02:20PM ET,CHC,2.33
SS,Aramis Ademan (10617746),Aramis Ademan,10617746,SS,2000,MIL@CHC 04/29/2018 02:20PM ET,CHC,0
2B,Keston Hiura (10617763),Keston Hiura,10617763,2B,2000,MIL@CHC 04/29/2018 02:20PM ET,MIL,0
OF,Lazaro Armenteros (10617758),Lazaro Armenteros,10617758,OF,2000,OAK@HOU 04/29/2018 02:10PM ET,OAK,0
OF,Austin Beck (10617762),Austin Beck,10617762,OF,2000,OAK@HOU 04/29/2018 02:10PM ET,OAK,0
C,Drew Butera (10617394),Drew Butera,10617394,C,2000,CWS@KC 04/29/2018 02:15PM ET,KC,3.6
OF,Jacob May (10617578),Jacob May,10617578,OF,2000,CWS@KC 04/29/2018 02:15PM ET,CWS,0
OF,Seuly Matias (10617744),Seuly Matias,10617744,OF,2000,CWS@KC 04/29/2018 02:15PM ET,KC,0
OF,Blake Rutherford (10617749),Blake Rutherford,10617749,OF,2000,CWS@KC 04/29/2018 02:15PM ET,CWS,0
OF,Khalil Lee (10617752),Khalil Lee,10617752,OF,2000,CWS@KC 04/29/2018 02:15PM ET,KC,0
OF,Luis Robert (10617759),Luis Robert,10617759,OF,2000,CWS@KC 04/29/2018 02:15PM ET,CWS,0
1B,Nick Pratto (10617764),Nick Pratto,10617764,1B,2000,CWS@KC 04/29/2018 02:15PM ET,KC,0
2B/3B,Phil Gosselin (10617531),Phil Gosselin,10617531,2B/3B,2000,CIN@MIN 04/29/2018 02:10PM ET,CIN,1.9
SS,Wander Javier (10617745),Wander Javier,10617745,SS,2000,CIN@MIN 04/29/2018 02:10PM ET,MIN,0
OF,Alex Kirilloff (10617747),Alex Kirilloff,10617747,OF,2000,CIN@MIN 04/29/2018 02:10PM ET,MIN,0
SS,Royce Lewis (10617760),Royce Lewis,10617760,SS,2000,CIN@MIN 04/29/2018 02:10PM ET,MIN,0
