"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Ronald Guzman","Rangers","TEX @ TOR","1B","3.94",".81",".52",".18",".02",".08",".37",".36",".02",".01",".33",".96","4.77","7.41","5.70","14388"
"Lourdes Gurriel","Blue Jays","TEX @ TOR","SS","3.79",".83",".55",".19",".02",".08",".37",".41",".05",".03",".19",".76","4.71","7.35","5.69","19238"
"Drew Robinson","Rangers","TEX @ TOR","CF","3.81",".62",".34",".15",".03",".11",".36",".34",".06",".04",".42","1.47","4.77","7.40","5.59","11761"
"Alcides Escobar","Royals","CWS @ KC","SS","3.75",".84",".60",".17",".03",".04",".38",".39",".06",".03",".25",".54","4.63","7.21","5.59","6310"
"Mike Zunino","Mariners","SEA @ CLE","C","3.98",".67",".36",".16",".00",".14",".35",".39",".01",".01",".30","1.75","4.67","7.28","5.50","13265"
"Tony Wolters","Rockies","COL @ MIA","C","4.04",".77",".58",".15",".02",".03",".33",".29",".03",".02",".58",".79","4.64","7.17","5.49","11470"
"Luis Sardinas","Orioles","DET @ BAL","SS","3.69",".84",".64",".12",".01",".07",".38",".35",".07",".04",".23",".61","4.57","7.10","5.56","13153"
"Trayce Thompson","White Sox","CWS @ KC","CF","4.02",".71",".44",".14",".03",".10",".33",".38",".04",".03",".28","1.29","4.55","7.08","5.43","9952"
"Jose Iglesias","Tigers","DET @ BAL","SS","3.99",".86",".63",".18",".00",".04",".34",".34",".07",".04",".27",".53","4.52","7.02","5.49","10231"
"Alex Avila","Diamondbacks","ARI @ WSH","C","4.07",".64",".41",".11",".00",".12",".32",".35",".01",".01",".50","1.78","4.59","7.12","5.36","7476"
"Kole Calhoun","Angels","NYY @ LAA","RF","3.78",".73",".49",".13",".01",".09",".33",".36",".02",".01",".37","1.04","4.55","7.07","5.41","11200"
"Adam Engel","White Sox","CWS @ KC","CF","3.77",".65",".42",".14",".02",".07",".35",".30",".12",".05",".35","1.16","4.52","7.00","5.38","15082"
"Jason Heyward","Cubs","MIL @ CHC","RF","3.74",".81",".61",".14",".02",".05",".30",".36",".05",".03",".33",".60","4.45","6.92","5.39","4940"
"J.B. Shuck","Marlins","COL @ MIA","LF","4.05",".86",".67",".13",".04",".03",".33",".37",".04",".02",".29",".57","4.41","6.86","5.37","6677"
"Eric Sogard","Brewers","MIL @ CHC","2B","4.02",".69",".48",".17",".02",".03",".28",".27",".05",".03",".59",".85","4.45","6.86","5.23","7927"
"Brandon Crawford","Giants","LAD @ SF","SS","3.84",".81",".56",".17",".03",".05",".30",".37",".03",".02",".28",".90","4.38","6.81","5.29","5343"
"Manny Pina","Brewers","MIL @ CHC","C","3.90",".76",".51",".16",".01",".07",".30",".36",".02",".01",".33","1.02","4.38","6.80","5.24","2829"
"Isiah Kiner-Falefa","Rangers","TEX @ TOR","2B","4.06",".85",".62",".18",".01",".03",".31",".30",".06",".04",".28",".89","4.33","6.71","5.30","16512"
"Dixon Machado","Tigers","DET @ BAL","2B","3.87",".81",".60",".16",".01",".04",".36",".31",".07",".04",".28",".63","4.34","6.73","5.26","11472"
"Tomas Nido","Mets","NYM @ SD","C","4.11",".81",".57",".16",".01",".08",".30",".36",".01",".01",".27",".96","4.34","6.74","5.24","13755"
"Tzu-Wei Lin","Red Sox","TB @ BOS","SS","3.80",".68",".52",".10",".03",".02",".38",".30",".07",".05",".45","1.15","4.36","6.76","5.16","14678"
"Nick Ahmed","Diamondbacks","ARI @ WSH","SS","3.95",".73",".48",".14",".01",".09",".29",".34",".05",".03",".26","1.18","4.32","6.71","5.20","12147"
"Wilmer Difo","Nationals","ARI @ WSH","2B","3.71",".78",".60",".12",".02",".04",".28",".29",".10",".05",".31",".79","4.27","6.61","5.20","14320"
"Ben Gamel","Mariners","SEA @ CLE","LF","3.85",".80",".54",".18",".03",".05",".31",".29",".04",".03",".23","1.13","4.25","6.59","5.18","12160"
"Ryon Healy","Mariners","SEA @ CLE","1B","3.73",".80",".50",".20",".00",".09",".33",".34",".01",".01",".14","1.18","4.24","6.59","5.14","15447"
"Freddy Galvis","Padres","NYM @ SD","SS","3.87",".76",".55",".12",".02",".07",".27",".30",".06",".04",".28",".99","4.23","6.55","5.14","6609"
"Carlos Asuaje","Padres","NYM @ SD","2B","3.75",".73",".52",".13",".03",".05",".25",".28",".02",".01",".36",".91","4.03","6.24","4.86","15197"
"Austin Hedges","Padres","NYM @ SD","C","3.63",".63",".38",".13",".00",".12",".27",".34",".03",".02",".22","1.32","4.00","6.23","4.78","12976"
"Martin Maldonado","Angels","NYY @ LAA","C","3.66",".61",".42",".11",".01",".07",".31",".29",".02",".01",".28","1.13","3.74","5.81","4.44","6887"
