Isiah Kiner-Falefa, 3100, 2B/3B, 8.15, 5.71, TEX, DET
Addison Russell, 3100, SS, 9.19, 5, CHC, MIA
Kolten Wong, 3100, 2B, 8.68, 4.7, STL, MIN
Manuel Margot, 3100, OF, 6.86, 5.30, SD, WAS
Evan Gattis, 3100, C, 9.48, 3.90, HOU, OAK
Ronald Guzman, 3000, 1B, 8.57, 4.88, TEX, DET
Martin Prado, 3000, 2B/3B, 7.80, 3.62, MIA, CHC
Derek Dietrich, 3000, OF, 8.76, 5.52, MIA, CHC
Tucker Barnhart, 3000, C, 8.87, 5.21, CIN, NYM
Matt Wieters, 3000, C, 7.36, 4.95, WAS, SD 
Jonathan Lucroy, 3000, C, 7.50, 5.77, OAK, HOU
Cameron Maybin, 2900, OF, 7.36, 4.38, MIA, CHC
Victor Caratini, 2900, C/1B, 8.82, 3.33, CHC, MIA
Amed Rosario, 2900, SS, 8.30, 4.53, NYM, CIN
Jose Pirela, 2900, 2B/OF, 7.36, 6.51, SD, WAS
Raffy Lopez, 2900, C, 8.80, 6.25, SD, WAS
Jorge Alfaro, 2900, C, 7.91, 4.65, PHI, SF@
Nick Williams, 2900, OF, 10.46, 3.33, PHI, SF@
Drew Robinson, 2800, 2B/OF, 8.72, 4.08, TEX, DET
Dixon Machado, 2800, 2B, 7.81, 5.39, DET, TEX
Robbie Grossman, 2800, OF, 8.78, 3.71, MIN, STL
Freddy Galvis, 2700, SS, 6.35, 5.23, SD, WAS
Travis Jankowski, 2700, OF, 7.30, 6.43, SD, WAS
Gregor Blanco, 2700, OF, 10.15, 5.35, SF, SF@
Gorkys Hernandez, 2700, OF, 7.60, 3.07, SF, SF@
Jake Marisnick, 2700, OF, 8.43, 3.59, HOU, OAK
Jose Iglesias, 2600, SS, 8.31, 5.29, DET, TEX
Miguel Rojas, 2600, SS, 6.49, 5.79, MIA, CHC
Jake Smolinski, 2600, OF, 7.12, 2.36, OAK, HOU
Carson Kelly, 2500, C, 7.73, 0, STL, MIN
Chase Headley, 2500, 3B, 7.28, 2.09, SD, WAS
Jose Lobaton, 2400, C, 8.34, 3.06, NYM, CIN
Ehire Adrianza, 2400, SS, 8.19, 3.42, MIN, STL
Bobby Wilson, 2400, C, 7.57, 0, MIN, STL
