Domingo Santana, 3300, OF, 10.86, 4.54, MIL, CIN
Jonathan Villar, 3300, 2B, 11.36, 5.37, MIL, CIN
Max Stassi, 3300, C, 7.27, 5.6, HOU, NYY
Stephen Piscotty, 3300, OF, 7.89, 6.30, OAK, SEA
Zack Cozart, 3300, 2B/3B, 8.07, 6.73, LAA, BAL
Francisco Cervelli, 3200, C, 8.58, 8.62, PIT, WAS
Jesus Aguilar, 3200, 1B, 12.25, 4.88, MIL, CIN
Marwin Gonzalez, 3200, 1B/OF, 8.63, 5.90, HOU, NYY
Dansby Swanson, 3200, SS, 6.98, 7.85, ATL, NYM
Brian Anderson, 3200, 3B, 8.29, 7.21, MIA, PHI
Lewis Brinson, 3200, OF, 7.44, 4.5, MIA, PHI
Justin Bour, 3200, 1B, 9.96, 6.52, MIA, PHI
Alex Verdugo, 3100, OF, 8.65, 5, LAD, ARI
Ketel Marte, 3100, 2B/SS, 8.46, 5.37, ARI, LAD
Derek Fisher, 3100, OF, 7.84, 4.48, HOU, NYY
Chase Utley, 3000, 2B, 9.51, 5.84, LAD, ARI
Chris Owings, 3000, 2B/OF, 9.19, 5.36, ARI, LAD
Josh Bell, 3000, 1B, 9.47, 6.47, PIT, WAS
Andrew Stevenson, 3000, OF, 8.08, 4.22, WAS, PIT
David Freese, 3000, 1B/3B, 7.87, 4.6, PIT, WAS
Jonathan Lucroy, 3000, C, 7.39, 5.36, OAK, SEA
Wilmer Flores, 3000, 1B, 11.49, 3.36, NYM, ATL
Martin Prado, 3000, 2B/3B, 8.09, 4.25, MIA, PHI
Jorge Alfaro, 3000, C, 7.84, 5.1, PHI, MIA
Max Muncy, 2900, 1B/OF, 8.08, 5.33, LAD, ARI
Max Moroff, 2900, SS, 8.92, 3.78, PIT, WAS
Devin Mesoraco, 2900, C, 10.42, 3, CIN, MIL
Kole Calhoun, 2900, OF, 7.38, 4.5, LAA, BAL
Jace Peterson, 2900, 2B/3B, 6.86, 6.33, BAL, LAA
Amed Rosario, 2900, SS, 7.80, 4.8, NYM, ATL
Cameron Maybin, 2900, OF, 8.86, 4.24, MIA, PHI
